9813: 65,18532,1287,17,45245,7150,34243,12544,43305,33690
12912: 4262,289,101,17,84,1102,7272,44946,32114,30488
30990: 18867,138,70,16032,48446,25346,1452,49689,31334,1244
4132: 5465,14202,17,302,616,654,58,542,42167,30058
8264: 18348,14562,33698,4135,2963,26337,39055,44521,29497,8648
11363: 546,17,302,866,12006,46959,35115,31661,23116,15260
43386: 27224,24871,74138,58821,8700,41012,21934,28652,51643,49419
15495: 5567,285,17,616,302,654,650,18743,47373,35033
3100: 101,554,302,616,84,29,15338,52226,8166,11740
7232: 50661,10039,17,1055,35585,34378,23359,13783,9380,47619
15496: 832,603,533,43181,25593,27013,33957,40324,51212,49814
17562: 1109,17,616,654,302,29808,32101,52254,37264,41666
24793: 1592,4561,22608,33466,34184,49790,6071,127,18789,18352
1551: 8276,616,518,650,354,20933,24121,5794,33572,7312
31508: 48716,33961,24511,31243,31148,18584,29564,52341,25177,4300
5683: 30991,35798,9626,12649,41029,9101,40184,50080,21632,25851
8782: 5557,168,719,1400,8860,463,17900,11778,3903,47958
38739: 9289,16377,39988,49758,36379,1161,17472,38636,3650,32048
23244: 138,1239,17,302,654,58,523,25750,40576,9969
2068: 17,1405,5567,1451,559,3476,22910,19399,30511,35003
4134: 12084,46550,122533,111949,23475,36514,14402,51163,26190,31672
16530: 41961,508,1382,17,245,36704,28481,19132,45868,18680
1552: 29723,19245,10906,51827,18160,7410,1976,20944,20671,41937
4651: 302,17,654,616,58,29,650,8232,37103,48417
3102: 2153,14754,168,984,1400,574,5480,5041,27385,13672
34092: 14504,104766,56697,10775,54479,48337,89028,37146,39864,2144
13432: 1572,302,29,17,616,787,654,518,58,41568
16531: 224,37754,41889,5796,48576,21069,18951,9185,37905,25800
1553: 518,8683,58,17,616,654,302,542,16089,7204
31510: 53526,29327,98118,101917,42547,95692,24983,66646,31131,5963
7751: 427,15141,29,654,58,84,354,28560,42211,38703
37708: 42575,3793,33714,45696,33869,6229,46056,47220,25265,46290
11883: 35382,8364,225,14797,11825,13183,44096,30721,5747,40441
